setting,defined_in,read_by,bucket,default,effective_on_sa_de_run,effective_value_source,verdict,note
ROYSEARCH_MCMC_B_ADD,smm/MCMC_main.jl,demc.jl:run_demc,a_live_forwarded,1e-4,1e-4,not resolved on this path,MCMC_main.jl-only key; not consulted on the smm_main.jl path measured here,"""additive isotropic jitter"""
ROYSEARCH_MCMC_B_MULT,smm/MCMC_main.jl,demc.jl:run_demc,a_live_forwarded,1e-5,1e-5,not resolved on this path,MCMC_main.jl-only key; not consulted on the smm_main.jl path measured here,"""multiplicative jitter on the difference vector"""
ROYSEARCH_MCMC_CHECKPOINT,smm/MCMC_main.jl,MCMC_main.jl:promote!,a_live_forwarded,false,false,not resolved on this path,MCMC_main.jl-only key; not consulted on the smm_main.jl path measured here,"""promote each new best point to the warm-start bundle during the run"""
ROYSEARCH_MCMC_CR,smm/MCMC_main.jl,demc.jl:run_demc,a_live_forwarded,0.25,0.25,not resolved on this path,MCMC_main.jl-only key; not consulted on the smm_main.jl path measured here,"""per-coordinate perturbation probability"""
ROYSEARCH_MCMC_DELTA,smm/MCMC_main.jl,demc.jl:run_demc,a_live_forwarded,1,1,not resolved on this path,MCMC_main.jl-only key; not consulted on the smm_main.jl path measured here,"""difference pairs per proposal"""
ROYSEARCH_MCMC_GENS,smm/MCMC_main.jl,demc.jl:run_demc,a_live_forwarded,4000,4000,not resolved on this path,MCMC_main.jl-only key; not consulted on the smm_main.jl path measured here,"""generation budget"""
ROYSEARCH_MCMC_JAC_ONLY,smm/MCMC_main.jl,MCMC_main.jl:top level,a_live_forwarded,false,false,not resolved on this path,MCMC_main.jl-only key; not consulted on the smm_main.jl path measured here,"""skip the chain and take Ĵ = Ĝ'WĜ from a local design"""
ROYSEARCH_MCMC_N,smm/MCMC_main.jl,demc.jl:run_demc,a_live_forwarded,64,64,not resolved on this path,MCMC_main.jl-only key; not consulted on the smm_main.jl path measured here,"""chains; 0 ⇒ 2·d"""
ROYSEARCH_SA_HALFLIFE,smm/smm_main.jl,smm.jl:_sa_loop,a_live_forwarded,5_000,5_000,measured (run default),live and forwarded: reaches its consumer on the measured run,"""geometric cooling half-life; 0 selects the logarithmic branch instead"""
ROYSEARCH_SA_MAX_ITER,smm/smm_main.jl,smm.jl:_sa_loop,a_live_forwarded,30_000,6,measured (run override),live and forwarded: reaches its consumer on the measured run,"""iteration cap per chain"""
ROYSEARCH_SA_MAX_REHEATS,smm/smm_main.jl,smm.jl:_sa_loop,a_live_forwarded,4,1,measured (run override),live and forwarded: reaches its consumer on the measured run,"""reheat cap per run; 0 unlimited"""
ROYSEARCH_SA_RATE_SPAN,smm/smm_main.jl,smm.jl:_sa_loop,a_live_forwarded,300,300,measured (run default),live and forwarded: reaches its consumer on the measured run,"""productive iterations the rate stop spans"""
ROYSEARCH_SA_RATE_TOL,smm/smm_main.jl,smm.jl:_sa_loop,a_live_forwarded,0.05,0.05,measured (run default),live and forwarded: reaches its consumer on the measured run,"""rate-based stop, ΔQ per 100 iterations"""
ROYSEARCH_SA_SCALE_PER_K,smm/smm_main.jl,smm.jl:sa_proposal_scale,a_live_forwarded,24,2,measured (run override),live and forwarded: reaches its consumer on the measured run,"""candidates drawn at each sparsity when measuring the proposal; sets ""
                * ""both p_move and the per-coordinate step, so no fixed coordinate ""
                * ""count is configured"""
ROYSEARCH_SA_SCALE_SIGMA,smm/smm_main.jl,smm.jl:sa_proposal_scale,a_live_forwarded,0.33,0.33,measured (run default),live and forwarded: reaches its consumer on the measured run,"""measurement step as a fraction of each coordinate's own ΔQ<1 width"""
ROYSEARCH_SA_STEP,smm/smm_main.jl,smm.jl:sa_proposal_scale,a_live_forwarded,0.01,0.01,measured (run default),live and forwarded: reaches its consumer on the measured run,"""FALLBACK step for a coordinate the width bisection cannot move, not the ""
                * ""proposal scale: the step is per coordinate and seeded from measured ""
                * ""ΔQ=1 half-widths. 0 of 23 coordinates needed it at base_fc"""
ROYSEARCH_SA_T0_REL,smm/smm_main.jl,smm.jl:_sa_loop,a_live_forwarded,1e-4,1e-4,measured (run default),live and forwarded: reaches its consumer on the measured run,"""move size, as a fraction of Q, that T0 keeps live; also start-dependent"""
ROYSEARCH_USE_AS_SEED,smm/smm_main.jl,smm_main.jl:top level,a_live_forwarded,true,true,measured (run default),live and forwarded: reaches its consumer on the measured run,"""false perturbs the entered init before estimating"""
ROYSEARCH_WIDTH_DQ,smm/smm.jl,smm.jl:_feasible_widths,a_live_forwarded,1.0,1.0,measured (run default),live and forwarded: reaches its consumer on the measured run,"""the ΔQ contour every measured step scale is taken against; absolute ""
                * ""in Q units, just above the measured evaluation-noise floor"""
ROYSEARCH_WINDOW,smm/MCMC_main.jl,smm_main.jl:top level,a_live_forwarded,:base_fc,base_fc,measured (run override),live and forwarded: reaches its consumer on the measured run,"""estimation window; must be a key of data/derived/windows.json"""
ROYSEARCH_W_COND_TARGET,smm/MCMC_main.jl,smm_params.jl:load_weight_matrix,a_live_forwarded,0.0,0.0,measured (run default),live and forwarded: reaches its consumer on the measured run,"""0.0 diagonal-σ, 2.0 equal weights; also selects the bundle suffix"""
_run_sa scale_cap,smm/smm.jl:_run_sa body,smm.jl:sa_proposal_scale,b_dead_by_forwarding_gap_FIXED,(see verdict),now delivered,measured: the run now completes stage 1 -> stage 2 and exits 0,"referenced a parameter removed when the bisection cap was consolidated into _WIDTH_CAP, so :sa_de died with a MethodError. FIXED: argument dropped; the shared cap default stands.",closed in this pass; check_forwarding.jl now fails on a recurrence
run_smm sa_cooling_halflife (name mismatch),smm/smm.jl:run_smm signature,smm.jl:_sa_loop,b_dead_by_forwarding_gap_FIXED,(see verdict),now delivered,negative control: reintroducing the mismatch now fails check 3,"callee spelled sa_cooling_halflife while the caller computed sa_halflife, so the name-matching audit could not see it. FIXED: renamed to sa_halflife at both ends.",closed in this pass; check_forwarding.jl now fails on a recurrence
run_smm sa_subset_k / sa_halflife / sa_rate_tol / sa_rate_span,smm/smm_main.jl:1130 (call to run_smm),smm.jl:_sa_loop,b_dead_by_forwarding_gap_FIXED,(see verdict),now delivered,[SA config] now prints p_move=0.4348 and half-life 5000 from inside the walk,computed into run_params and never passed for v18.4.0-v19.0.0; run_smm substituted its own defaults 0/0/0.0/0 in silence. FIXED: all four forwarded; sa_subset_k since retired.,closed in this pass; check_forwarding.jl now fails on a recurrence
ROYSEARCH_CLUSTERS_FORCE_REGEN,smm/smm_main.jl,candidates.jl:load_or_generate_candidates,c_dead_unreachable_path,true,true,measured (run default),reached only under INIT_MODE=:clusters; shipped default is :warmstart,"""read only under INIT_MODE = :clusters; the shipped default is :warmstart"""
ROYSEARCH_DE_AVG_TOL,smm/smm_main.jl,smm.jl:_run_de,c_dead_unreachable_path,0.0,0.0,measured (run default),permanently off: the measure ranks premature convergence as most converged (rho=+0.915),"""0 disables, which is the shipped default: the measure ranks a ""
                * ""prematurely converged run as the most converged one (ρ = +0.915 ""
                * ""with achieved ΔQ across a six-configuration sweep)"""
ROYSEARCH_DE_CR,smm/smm_main.jl,smm.jl:_run_de,c_dead_unreachable_path,0.90,0.90,measured (run default),superseded at run time by the generator's yield table (DE_ADAPT_FCR=true),"""overridden by the generator's yield table whenever DE_ADAPT_FCR is ""
                * ""true, which is the shipped default"""
ROYSEARCH_DE_F,smm/smm_main.jl,smm.jl:_run_de,c_dead_unreachable_path,0.70,0.70,measured (run default),superseded at run time by the generator's yield table (DE_ADAPT_FCR=true),"""overridden by the generator's yield table whenever DE_ADAPT_FCR is ""
                * ""true, which is the shipped default"""
ROYSEARCH_INCLUDE_PREV_OPTIMUM,smm/smm_main.jl,smm_main.jl:top level,c_dead_unreachable_path,false,false,measured (run default),reached only under INIT_MODE=:clusters; shipped default is :warmstart,"""read only under INIT_MODE = :clusters; the shipped default is :warmstart"""
ROYSEARCH_MCMC_SCREEN_CAP,smm/MCMC_main.jl,MCMC_main.jl:_screen_scale,c_dead_unreachable_path,1.0,1.0,not resolved on this path,reached only under MCMC_INIT=:screen; shipped default is :at_seed,"""read only under MCMC_INIT = :screen; the shipped default is :at_seed"""
ROYSEARCH_MCMC_SCREEN_FLOOR,smm/MCMC_main.jl,MCMC_main.jl:_screen_scale,c_dead_unreachable_path,1e-3,1e-3,not resolved on this path,reached only under MCMC_INIT=:screen; shipped default is :at_seed,"""read only under MCMC_INIT = :screen; the shipped default is :at_seed"""
ROYSEARCH_MCMC_SCREEN_FRAC,smm/MCMC_main.jl,MCMC_main.jl:_screen_scale,c_dead_unreachable_path,0.3,0.3,not resolved on this path,reached only under MCMC_INIT=:screen; shipped default is :at_seed,"""read only under MCMC_INIT = :screen; the shipped default is :at_seed"""
ROYSEARCH_NM_F_TOL,smm/smm_main.jl,smm.jl:run_smm (:lbfgs / :bfgs branches),c_dead_unreachable_path,1e-3,1e-3,measured (run default),NM branch never entered under the shipped method=:sa_de,"""unread by Optim's Nelder-Mead (assess_convergence returns f_converged ""
                * ""as a literal false); live only for the gradient methods"""
ROYSEARCH_NM_G_TOL,smm/smm_main.jl,smm.jl:run_smm (:neldermead branch),c_dead_unreachable_path,1e-8,1e-8,measured (run default),NM branch never entered under the shipped method=:sa_de,"""Nelder-Mead's only built-in test, but unreachable at Q ~ 1e3, and the ""
                * ""branch itself is not entered under :sa_de"""
ROYSEARCH_NM_MAX_ITER,smm/smm_main.jl,smm.jl:run_smm (:neldermead branch),c_dead_unreachable_path,10_000,10_000,measured (run default),NM branch never entered under the shipped method=:sa_de,"""the shipped method is :sa_de, which never enters this branch"""
ROYSEARCH_NM_NO_IMPROVE,smm/smm_main.jl,smm.jl:run_smm (:neldermead branch),c_dead_unreachable_path,4_000,4_000,measured (run default),NM branch never entered under the shipped method=:sa_de,"""the shipped method is :sa_de, which never enters this branch"""
ROYSEARCH_NM_RATE_SPAN,smm/smm_main.jl,smm.jl:run_smm (:neldermead branch),c_dead_unreachable_path,300,300,measured (run default),NM branch never entered under the shipped method=:sa_de,"""the shipped method is :sa_de, which never enters this branch"""
ROYSEARCH_NM_RATE_TOL,smm/smm_main.jl,smm.jl:run_smm (:neldermead branch),c_dead_unreachable_path,0.05,0.05,measured (run default),NM branch never entered under the shipped method=:sa_de,"""the shipped method is :sa_de, which never enters this branch"""
ROYSEARCH_NM_SIMPLEX_STEP,smm/smm_main.jl,smm.jl:Optim.simplexer(FeasibleSimplexer),c_dead_unreachable_path,0.2,0.2,measured (run default),NM branch never entered under the shipped method=:sa_de,"""builds the initial simplex, which only the Nelder-Mead branch builds"""
ROYSEARCH_NM_X_TOL,smm/smm_main.jl,smm.jl:run_smm (:lbfgs / :bfgs branches),c_dead_unreachable_path,1e-5,1e-5,measured (run default),NM branch never entered under the shipped method=:sa_de,"""unread by Optim's Nelder-Mead, as NM_F_TOL"""
ROYSEARCH_SEED_PERTURB_FRAC,smm/smm_main.jl,smm_params.jl:perturb_free_init,c_dead_unreachable_path,0.05,0.05,measured (run default),reached only when USE_AS_SEED=false; not exercised by the shipped default,"""read only when USE_AS_SEED = false, which is not the shipped default"""
sa_subset_k (SMMRunParams field; ROYSEARCH_SA_SUBSET_K removed),smm/smm_params.jl,(nothing),d_obsolete_removed,3,n/a - no consumer reads it,measured (absent from the run's [SA config] line),"retired with the SA proposal respecification; env key and forwarding deleted, struct field kept dead so existing .jls bundles stay loadable",replaced by the measured Bernoulli(p_move) proposal; see SETTINGS.md graveyard
